First name,Name,CK section,Term 2011-2012,Term 2013-2016,Term 2017-2020,Scientific discipline,Affiliation
Marek,Adamczewski,7,0,0,1,sztuki projektowe,Akademia Sztuk Pięknych w Gdańsku
Wojciech,Adamczyk,7,0,0,1,sztuki teatralne,Akademia Teatralna im. Aleksandra Zelwerowicza w Warszawie Wydział Reżyserii
Andrzej,Ambroziak,6,0,0,1,inżynieria produkcji,Politechnika Wrocławska
Leon,Andrzejewski,5,1,1,1,geografia,Uniwersytet Mikołaja Kopernika w Toruniu
Piotr,Andziak,4,0,1,1,medycyna,Centralny Szpital Kliniczny Ministerstwa Spraw Wewnętrznych i Administracji w Warszawie
Włodzimierz,Anioł,1,0,1,1,nauki o polityce publicznej,Uniwersytet Warszawski
Jędrzej,Antosiewicz,4,0,0,1,nauki o kulturze fizycznej,Akademia Wychowania Fizycznego i Sportu im. Jędrzeja Śniadeckiego w Gdańsku
Andrzej,Antoszewski,1,1,1,1,nauki o polityce,Uniwersytet Wrocławski
Henryk,Arodź,5,1,1,1,fizyka,Uniwersytet Jagielloński w Krakowie
Urszula,Augustyniak,1,0,0,1,historia,Uniwersytet Warszawski
Jan,Awrejcewicz,6,0,1,1,mechanika,Politechnika Łódzka
Teresa,Bachanek,4,1,0,0,stomatologia,Uniwersytet Medyczny w Lublinie
Maciej,Bagiński,5,0,0,1,biotechnologia,Politechnika Gdańska
Jerzy,Bajkowski,6,0,1,0,budowa i eksploatacja maszyn,Politechnika Warszawska
Andrzej,Banachowicz,7,1,1,1,sztuki piękne,Uniwersytet Artystyczny w Poznaniu
Maria,Barcikowska-Kotowicz,4,1,0,0,medycyna,Instytut Medycyny Doświadczalnej i Klinicznej im. Mirosława Mossakowskiego PAN w Warszawie
Marcin,Barlik,5,1,1,0,geodezja i kartografia,Politechnika Warszawska
Roman,Barlik,6,1,1,1,elektrotechnika,Politechnika Warszawska
Ewa,Bartnik,3,1,1,1,biologia,Uniwersytet Warszawski
Grzegorz,Bartosz,3,0,1,1,biofizyka,Uniwersytet Łódzki
Jerzy,Bałdyga,6,0,1,1,inżynieria chemiczna,Politechnika Warszawska
Stefan,Berczyński,6,0,0,1,budowa i eksploatacja maszyn,Zachodniopomorski Uniwersytet Technologiczny w Szczecinie
Piotr,Biler,5,1,0,1,matematyka,Uniwersytet Wrocławski
Barbara,Bilińska,3,0,0,1,biologia,Uniwersytet Jagielloński
Leszek,Blacha,6,0,0,1,metalurgia,Politechnika Śląska
Wojciech,Bonenberg,6,1,1,1,architektura i urbanistyka,Politechnika Poznańska
Adam,Boratyński,3,0,1,0,biologia,Instytut Dendrologii Polskiej Akademii Nauk w Kórniku
Tomasz,Borecki,3,1,1,1,leśnictwo,Szkoła Główna Gospodarstwa Wiejskiego w Warszawie
Ryszard,Borowiecki,2,1,1,0,nauki o zarządzaniu,Uniwersytet Ekonomiczny w Krakowie
Maria,Borysewicz-Lewicka,4,0,1,0,stomatologia,Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu
Mariusz,Bratnicki,2,0,1,1,nauki o zarządzaniu,Uniwersytet Ekonomiczny w Katowicach
Andrzej,Bronk,1,1,0,0,religioznawstwo,Katolicki Uniwersytet Lubelski Jana Pawła II
Lesław,Brunarski,6,1,0,0,budownictwo,Instytut Techniki Budowlanej w Warszawie
Bogumił,Brzeziński,1,0,1,0,prawo,Uniwersytet Mikołaja Kopernika w Toruniu
Jerzy,Brzeziński,1,1,1,1,psychologia,Uniwersytet im. Adama Mickiewicza w Poznaniu
Tomasz,Brzozowski,4,0,0,1,biologia medyczna,Uniwersytet Jagielloński
Andrzej,Bręborowicz,4,0,1,1,biologia medyczna,Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu
Michał,Buchowski,1,0,1,1,religioznawstwo,Uniwersytet im. Adama Mickiewicza w Poznaniu
Adam,Budnikowski,2,1,0,1,ekonomia,Szkoła Główna Handlowa w Warszawie
Wojciech,Budzyński,3,1,1,0,agronomia,Uniwersytet Warmińsko -Mazurski w Olsztynie
Marek,Bugdol,1,0,1,0,nauki o zarządzaniu,Uniwersytet Jagielloński w Krakowie
Grzegorz,Bujacz,5,0,1,1,biotechnologia,Politechnika Łódzka
Andrzej,Buko,1,0,0,1,archeologia,Uniwersytet Warszawski
Tadeusz,Burczyński,6,1,0,0,mechanika,Politechnika Śląska
Maciej,Buszewicz,7,0,1,1,sztuki piękne,Akademia Sztuk Pięknych w Warszawie
Bogusław,Buszewski,5,0,1,1,chemia,Uniwersytet Mikołaja Kopernika w Toruniu
Adam,Błaś,1,1,0,0,nauki o administracji,Uniwersytet Wrocławski
Jerzy,Błażejowski,5,0,1,0,chemia,Uniwersytet Gdański
Stanisław,Cebula,3,0,1,1,ogrodnictwo,Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie
Wojciech,Chlebda,1,0,1,1,językoznawstwo,Uniwersytet Opolski
Tadeusz,Chmielniak,6,1,0,0,energetyka,Politechnika Śląska
Jan,Chochorowski,1,1,1,0,archeologia,Uniwersytet Jagielloński w Krakowie
Krystyna,Chojnicka,1,0,0,1,prawo,Uniwersytet Jagielloński
Maria,Chomyszyn-Gajewska,4,0,1,0,stomatologia,Uniwersytet Jagielloński w Krakowie
Leopold,Ciborowski,1,1,0,0,nauki wojskowe,Akademia Obrony Narodowej w Warszawie
Czesław,Cierniewski,3,1,0,0,biochemia,Uniwersytet Medyczny w Łodzi
Szymon,Cyfert,2,0,0,1,nauki o zarządzaniu,Uniwersytet Ekonomiczny w Poznaniu
Stanisław,Czuczwar,4,1,0,0,biologia medyczna,Akademia Medyczna im. prof. Feliksa Skubiszewskiego w Lublinie
Andrzej,Czyżewski,2,0,1,1,ekonomia,Uniwersytet Ekonomiczny w Poznaniu
Stefan,Czyżewski,7,1,0,0,sztuki filmowe,Państwowa Wyższa Szkoła Filmowa  Telewizyjna i Teatralna im. Leona Schillera w Łodzi
Marek,Darowski,6,0,1,0,biocybernetyka i inżynieria biomedyczna,Instytut Biocybernetyki i Inżynierii Biomedycznej im. Macieja Nałęcza Polskiej Akademii Nauk w Warszawie
Andrzej,Demenko,6,0,0,1,elektrotechnika,Politechnika Poznańska
Krystyna,Demska-Zakęś,3,0,0,1,rybactwo,Uniwersytet Warmińsko-Mazurski w Olsztynie
Andrzej,Dobek,5,1,1,0,biofizyka,Uniwersytet im. Adama Mickiewicza w Poznaniu
Anna,Dobrzańska,4,1,0,0,medycyna,"Instytut „Pomnik-Centrum Zdrowia Dziecka"" w Warszawie"
Zbigniew,Dobrzański,3,0,1,0,zootechnika,Uniwersytet Przyrodniczy we Wrocławiu
Tadeusz,Dola,1,1,0,1,nauki teologiczne,Uniwersytet Opolski
Bogdan,Dolnicki,1,0,1,1,nauki o administracji,Uniwersytet Śląski w Katowicach
Czesław,Domański,2,1,1,0,ekonomia,Uniwersytet Łódzki
Michał,Drews,4,1,0,0,medycyna,Uniwersytet Medyczny w Poznaniu
Józef,Dubiński,6,1,0,0,górnictwo i geologia inżynierska,Główny Instytut Górnictwa
Zofia,Duniewska,1,0,0,1,prawo,Uniwersytet Łódzki
Henryk,Dyja,6,1,1,0,metalurgia,Politechnika Częstochowska
