Polish, English
archeologia, Archaeology
bibliologia i informatologia, Sci. information & library sci.
etnologia, Ethnology
filozofia, Philosophy
historia, History
historia sztuki, History of art
językoznawstwo, Linguistics
kulturoznawstwo, Cultural studies
literaturoznawstwo, Literary studies
nauki o rodzinie, Family studies
nauki o sztuce, Art studies
zarządzanie, Management studies
religioznawstwo, Religious studies
teologia, Theology
nauki o bezpieczeństwie, Safety studies
nauki o obronności, Defence studies
nauki o mediach, Media studies
nauki o polityce, Politics studies
nauki o polityce publicznej, Public policy studies
nauki o poznaniu i komunikacji społecznej, Cognitive & social comm. stud.
pedagogika, Education studies
psychologia, Psychology
socjologia, Sociology
ekonomia, Economics
finanse, Finance
nauki o zarządzaniu, Management studies
towaroznawstwo, Commodity science
nauki o administracji, Administration studies
prawo, Law
prawo kanoniczne, Canon law
matematyka, Mathematics
informatyka, Computer science
astronomia, Astronomy
biofizyka, Biophysics
fizyka, Physics
geofizyka, Geophysics
biochemia, Biochemistry
biotechnologia, Biotechnology
chemia, Chemistry
ochrona środowiska, Environmental protection 
technologia chemiczna, Chemical technology
biochemia, Biochemistry
biofizyka, Biophysics
biologia, Biology
biotechnologia, Biotechnology
ekologia, Ecology
mikrobiologia, Microbiology
ochrona środowiska, Environmental protection
geofizyka, Geophysics
geografia, Geography
geologia, Geology
oceanologia, Ocean studies
architektura i urbanistyka, Architecture & urban studies
automatyka i robotyka, Automation and robotics
biocybernetyka i inżynieria biomedyczna,  Biocybernetics & biomed. engg.
biotechnologia, Biotechnology
budowa i eksploatacja maszyn, Machine building & exploitation 
budownictwo, Construction engineering
elektronika, Electronic engineering
elektrotechnika, Electrical engineering
energetyka, Energy studies
geodezja i kartografia, Geodesy and cartography
górnictwo i geologia inżynierska, Mining and engg. geology
informatyka,  Computer science
inżynieria chemiczna,  Chemical engineering
inżynieria materiałowa,  Materials engineering 
inżynieria produkcji,  Production engineering
inżynieria rolnicza,  Agricultural engineering
inżynieria środowiska, Environmental engineering
mechanika, Mechanical engineering
metalurgia, Metallurgy
technologia chemiczna, Chemical technology
telekomunikacja, Telecommunications
transport, Transport
włókiennictwo, Textile engineering
agronomia, Agronomy
biotechnologia, Biotechnology
inżynieria rolnicza, Agricultural engineering
ochrona i kształtowanie środowiska, Environ. protection & mngmnt.
ogrodnictwo, Horticulture
rybactwo, Fisheries studies
technologia żywności i żywienia, Food & nutrition technology
zootechnika, Animal husbandry
drzewnictwo, Wood science
leśnictwo,  Forestry
weterynaria, Veterinary sciences
biologia medyczna, Medical biology
medycyna, Medicine
stomatologia, Dentistry
nauki farmaceutyczne, Pharmaceutical sciences
farmacja, Pharmaceutical sciences   
nauki o zdrowiu, Health sciences
nauki o kulturze fizycznej, Physical culture sciences
sztuki filmowe, Film studies
dyrygentura, Conducting
instrumentalistyka, Instrumental studies
kompozycja i teoria muzyki, Composition and music theory
reżyseria dźwięku, Sound engineering
rytmika i taniec, Eurhythmics and dance studies
wokalistyka,  Vocal studies
sztuki piękne, Fine arts
sztuki projektowe, Design studies
konserwacja i restauracja dzieł sztuki, Art conservation & restoration
sztuki teatralne, Theatre studies
